RP Experience Table, Credit to: nerdassault.com.br

LEVEL		RP NECESSARY			RP TO NEXT LEVEL
345		10085850 		40850
346		10126700 		40900
347		10167600 		40950
348		10208550 		41000
349		10249550 		41050
350		10290600 		41100
351		10331700 		41150
352		10372850 		41200
353		10414050 		41250
354		10455300 		41300
355		10496600 		41350
356		10537950 		41400
357		10579350 		41450
358		10620800 		41500
359		10662300 		41550
360		10703850 		41600
361		10745450 		41650
362		10787100 		41700
363		10828800 		41750
364		10870550 		41800
365		10912350 		41850
366		10954200 		41900
367		10996100 		41950
368		11038050 		42000
369		11080050 		42050
370		11122100 		42100
371		11164200 		42150
372		11206350 		42200
373		11248550 		42250
374		11290800 		42300
375		11333100 		42350
376		11375450 		42400
377		11417850 		42450
378		11460300 		42500
379		11502800 		42550
380		11545350 		42600
381		11587950 		42650
382		11630600 		42700
383		11673300 		42750
384		11716050 		42800
385		11758850 		42850
386		11801700 		42900
387		11844600 		42950
388		11887550 		43000
389		11930550 		43050
390		11973600 		43100
391		12016700 		43150
392		12059850 		43200
393		12103050 		43250
394		12146300 		43300
395		12189600 		43350
396		12232950 		43400
397		12276350 		43450
398		12319800 		43500
399		12363300 		43550
400		12406850 		43600
401		12450450 		43650
402		12494100 		43700
403		12537800 		43750
404		12581550 		43800
405		12625350 		43850
406		12669200 		43900
407		12713100 		43950
408		12757050 		44000
409		12801050 		44050
410		12845100 		44100
411		12889200 		44150
412		12933350 		44200
413		12977550 		44250
414		13021800 		44300
415		13066100 		44350
416		13110450 		44400
417		13154850 		44450
418		13199300 		44500
419		13243800 		44550
420		13288350 		44600
421		13332950 		44650
422		13377600 		44700
423		13422300 		44750
424		13467050 		44800
425		13511850 		44850
426		13556700 		44900
427		13601600 		44950
428		13646550 		45000
429		13691550 		45050
430		13736600 		45100
431		13781700 		45150
432		13826850 		45200
433		13872050 		45250
434		13917300 		45300
435		13962600 		45350
436		14007950 		45400
437		14053350 		45450
438		14098800 		45500
439		14144300 		45550
440		14189850 		45600
441		14235450 		45650
442		14281100 		45700
443		14326800 		45750
444		14372550 		45800
445		14418350 		45850
446		14464200 		45900
447		14510100 		45950
448		14556050 		46000
449		14602050 		46050
450		14648100 		46100
451		14694200 		46150
452		14740350 		46200
453		14786550 		46250
454		14832800 		46300
455		14879100 		46350
456		14925450 		46400
457		14971850 		46450
458		15018300 		46500
459		15064800 		46550
460		15111350 		46600
461		15157950 		46650
462		15204600 		46700
463		15251300 		46750
464		15298050 		46800
465		15344850 		46850
466		15391700 		46900
467		15438600 		46950
468		15485550 		47000
469		15532550 		47050
470		15579600 		47100
471		15626700 		47150
472		15673850 		47200
473		15721050 		47250
474		15768300 		47300
475		15815600 		47350
476		15862950 		47400
477		15910350 		47450
478		15957800 		47500
479		16005300 		47550
480		16052850 		47600
481		16100450 		47650
482		16148100 		47700
483		16195800 		47750
484		16243550 		47800
485		16291350 		47850
486		16339200 		47900
487		16387100 		47950
488		16435050 		48000
489		16483050 		48050
490		16531100 		48100
491		16579200 		48150
492		16627350 		48200
493		16675550 		48250
494		16723800 		48300
495		16772100 		48350
496		16820450 		48400
497		16868850 		48450
498		16917300 		48500
499		16965800 		48550
500		17014350 		48600
501		17062950 		48650
502		17111600 		48700
503		17160300 		48750
504		17209050 		48800
505		17257850 		48850
506		17306700 		48900
507		17355600 		48950
508		17404550 		49000
509		17453550 		49050
510		17502600 		49100
511		17551700 		49150
512		17600850 		49200
513		17650050 		49250
514		17699300 		49300
515		17748600 		49350
516		17797950 		49400
517		17847350 		49450
518		17896800 		49500
519		17946300 		49550
520		17995850 		49600
521		18045450 		49650
522		18095100 		49700
523		18144800 		49750
524		18194550 		49800
525		18244350 		49850
526		18294200 		49900
527		18344100 		49950
528		18394050 		50000
529		18444050 		50050
530		18494100 		50100
531		18544200 		50150
532		18594350 		50200
533		18644550 		50250
534		18694800 		50300
535		18745100 		50350
536		18795450 		50400
537		18845850 		50450
538		18896300 		50500
539		18946800 		50550
540		18997350 		50600
541		19047950 		50650
542		19098600 		50700
543		19149300 		50750
544		19200050 		50800
545		19250850 		50850
546		19301700 		50900
547		19352600 		50950
548		19403550 		51000
549		19454550 		51050
550		19505600 		51100
551		19556700 		51150
552		19607850 		51200
553		19659050 		51250
554		19710300 		51300
555		19761600 		51350
556		19812950 		51400
557		19864350 		51450
558		19915800 		51500
559		19967300 		51550
560		20018850 		51600
561		20070450 		51650
562		20122100 		51700
563		20173800 		51750
564		20225550 		51800
565		20277350 		51850
566		20329200 		51900
567		20381100 		51950
568		20433050 		52000
569		20485050 		52050
570		20537100 		52100
571		20589200 		52150
572		20641350 		52200
573		20693550 		52250
574		20745800 		52300
575		20798100 		52350
576		20850450 		52400
577		20902850 		52450
578		20955300 		52500
579		21007800 		52550
580		21060350 		52600
581		21112950 		52650
582		21165600 		52700
583		21218300 		52750
584		21271050 		52800
585		21323850 		52850
586		21376700 		52900
587		21429600 		52950
588		21482550 		53000
589		21535550 		53050
590		21588600 		53100
591		21641700 		53150
592		21694850 		53200
593		21748050 		53250
594		21801300 		53300
595		21854600 		53350
596		21907950 		53400
597		21961350 		53450
598		22014800 		53500
599		22068300 		53550
600		22121850 		53600
601		22175450 		53650
602		22229100 		53700
603		22282800 		53750
604		22336550 		53800
605		22390350 		53850
606		22444200 		53900
607		22498100 		53950
608		22552050 		54000
609		22606050 		54050
610		22660100 		54100
611		22714200 		54150
612		22768350 		54200
613		22822550 		54250
614		22876800 		54300
615		22931100 		54350
616		22985450 		54400
617		23039850 		54450
618		23094300 		54500
619		23148800 		54550
620		23203350 		54600
621		23257950 		54650
622		23312600 		54700
623		23367300 		54750
624		23422050 		54800
625		23476850 		54850
626		23531700 		54900
627		23586600 		54950
628		23641550 		55000
629		23696550 		55050
630		23751600 		55100
631		23806700 		55150
632		23861850 		55200
633		23917050 		55250
634		23972300 		55300
635		24027600 		55350
636		24082950 		55400
637		24138350 		55450
638		24193800 		55500
639		24249300 		55550
640		24304850 		55600
641		24360450 		55650
642		24416100 		55700
643		24471800 		55750
644		24527550 		55800
645		24583350 		55850
646		24639200 		55900
647		24695100 		55950
648		24751050 		56000
649		24807050 		56050
650		24863100 		56100
651		24919200 		56150
652		24975350 		56200
653		25031550 		56250
654		25087800 		56300
655		25144100 		56350
656		25200450 		56400
657		25256850 		56450
658		25313300 		56500
659		25369800 		56550
660		25426350 		56600
661		25482950 		56650
662		25539600 		56700
663		25596300 		56750
664		25653050 		56800
665		25709850 		56850
666		25766700 		56900
667		25823600 		56950
668		25880550 		57000
669		25937550 		57050
670		25994600 		57100
671		26051700 		57150
672		26108850 		57200
673		26166050 		57250
674		26223300 		57300
675		26280600 		57350
676		26337950 		57400
677		26395350 		57450
678		26452800 		57500
679		26510300 		57550
680		26567850 		57600
681		26625450 		57650
682		26683100 		57700
683		26740800 		57750
684		26798550 		57800
685		26856350 		57850
686		26914200 		57900
687		26972100 		57950
688		27030050 		58000
689		27088050 		58050
690		27146100 		58100
691		27204200 		58150
692		27262350 		58200
693		27320550 		58250
694		27378800 		58300
695		27437100 		58350
696		27495450 		58400
697		27553850 		58450
698		27612300 		58500
699		27670800 		58550
700		27729350 		58600
701		27787950 		58650
702		27846600 		58700
703		27905300 		58750
704		27964050 		58800
705		28022850 		58850
706		28081700 		58900
707		28140600 		58950
708		28199550 		59000
709		28258550 		59050
710		28317600 		59100
711		28376700 		59150
712		28435850 		59200
713		28495050 		59250
714		28554300 		59300
715		28613600 		59350
716		28672950 		59400
717		28732350 		59450
718		28791800 		59500
719		28851300 		59550
720		28910850 		59600
721		28970450 		59650
722		29030100 		59700
723		29089800 		59750
724		29149550 		59800
725		29209350 		59850
726		29269200 		59900
727		29329100 		59950
728		29389050 		60000
729		29449050 		60050
730		29509100 		60100
731		29569200 		60150
732		29629350 		60200
733		29689550 		60250
734		29749800 		60300
735		29810100 		60350
736		29870450 		60400
737		29930850 		60450
738		29991300 		60500
739		30051800 		60550
740		30112350 		60600
741		30172950 		60650
742		30233600 		60700
743		30294300 		60750
744		30355050 		60800
745		30415850 		60850
746		30476700 		60900
747		30537600 		60950
748		30598550 		61000
749		30659550 		61050
750		30720600 		61100
751		30781700 		61150
752		30842850 		61200
753		30904050 		61250
754		30965300 		61300
755		31026600 		61350
756		31087950 		61400
757		31149350 		61450
758		31210800 		61500
759		31272300 		61550
760		31333850 		61600
761		31395450 		61650
762		31457100 		61700
763		31518800 		61750
764		31580550 		61800
765		31642350 		61850
766		31704200 		61900
767		31766100 		61950
768		31828050 		62000
769		31890050 		62050
770		31952100 		62100
771		32014200 		62150
772		32076350 		62200
773		32138550 		62250
774		32200800 		62300
775		32263100 		62350
776		32325450 		62400
777		32387850 		62450
778		32450300 		62500
779		32512800 		62550
780		32575350 		62600
781		32637950 		62650
782		32700600 		62700
783		32763300 		62750
784		32826050 		62800
785		32888850 		62850
786		32951700 		62900
787		33014600 		62950
788		33077550 		63000
789		33140550 		63050
790		33203600 		63100
791		33266700 		63150
792		33329850 		63200
793		33393050 		63250
794		33456300 		63300
795		33519600 		63350
796		33582950 		63400
797		33646350 		63450
798		33709800 		63500
799		33773300 		63550
800		33836850 		63600
801		33900450 		63650
802		33964100 		63700
803		34027800 		63750
804		34091550 		63800
805		34155350 		63850
806		34219200 		63900
807		34283100 		63950
808		34347050 		64000
809		34411050 		64050
810		34475100 		64100
811		34539200 		64150
812		34603350 		64200
813		34667550 		64250
814		34731800 		64300
815		34796100 		64350
816		34860450 		64400
817		34924850 		64450
818		34989300 		64500
819		35053800 		64550
820		35118350 		64600
821		35182950 		64650
822		35247600 		64700
823		35312300 		64750
824		35377050 		64800
825		35441850 		64850
826		35506700 		64900
827		35571600 		64950
828		35636550 		65000
829		35701550 		65050
830		35766600 		65100
831		35831700 		65150
832		35896850 		65200
833		35962050 		65250
834		36027300 		65300
835		36092600 		65350
836		36157950 		65400
837		36223350 		65450
838		36288800 		65500
839		36354300 		65550
840		36419850 		65600
841		36485450 		65650
842		36551100 		65700
843		36616800 		65750
844		36682550 		65800
845		36748350 		65850
846		36814200 		65900
847		36880100 		65950
848		36946050 		66000
849		37012050 		66050
850		37078100 		66100
851		37144200 		66150
852		37210350 		66200
853		37276550 		66250
854		37342800 		66300
855		37409100 		66350
856		37475450 		66400
857		37541850 		66450
858		37608300 		66500
859		37674800 		66550
860		37741350 		66600
861		37807950 		66650
862		37874600 		66700
863		37941300 		66750
864		38008050 		66800
865		38074850 		66850
866		38141700 		66900
867		38208600 		66950
868		38275550 		67000
869		38342550 		67050
870		38409600 		67100
871		38476700 		67150
872		38543850 		67200
873		38611050 		67250
874		38678300 		67300
875		38745600 		67350
876		38812950 		67400
877		38880350 		67450
878		38947800 		67500
879		39015300 		67550
880		39082850 		67600
881		39150450 		67650
882		39218100 		67700
883		39285800 		67750
884		39353550 		67800
885		39421350 		67850
886		39489200 		67900
887		39557100 		67950
888		39625050 		68000
889		39693050 		68050
890		39761100 		68100
891		39829200 		68150
892		39897350 		68200
893		39965550 		68250
894		40033800 		68300
895		40102100 		68350
896		40170450 		68400
897		40238850 		68450
898		40307300 		68500
899		40375800 		68550
900		40444350 		68600
901		40512950 		68650
902		40581600 		68700
903		40650300 		68750
904		40719050 		68800
905		40787850 		68850
906		40856700 		68900
907		40925600 		68950
908		40994550 		69000
909		41063550 		69050
910		41132600 		69100
911		41201700 		69150
912		41270850 		69200
913		41340050 		69250
914		41409300 		69300
915		41478600 		69350
916		41547950 		69400
917		41617350 		69450
918		41686800 		69500
919		41756300 		69550
920		41825850 		69600
921		41895450 		69650
922		41965100 		69700
923		42034800 		69750
924		42104550 		69800
925		42174350 		69850
926		42244200 		69900
927		42314100 		69950
928		42384050 		70000
929		42454050 		70050
930		42524100 		70100
931		42594200 		70150
932		42664350 		70200
933		42734550 		70250
934		42804800 		70300
935		42875100 		70350
936		42945450 		70400
937		43015850 		70450
938		43086300 		70500
939		43156800 		70550
940		43227350 		70600
941		43297950 		70650
942		43368600 		70700
943		43439300 		70750
944		43510050 		70800
945		43580850 		70850
946		43651700 		70900
947		43722600 		70950
948		43793550 		71000
949		43864550 		71050
950		43935600 		71100
951		44006700 		71150
952		44077850 		71200
953		44149050 		71250
954		44220300 		71300
955		44291600 		71350
956		44362950 		71400
957		44434350 		71450
958		44505800 		71500
959		44577300 		71550
960		44648850 		71600
961		44720450 		71650
962		44792100 		71700
963		44863800 		71750
964		44935550 		71800
965		45007350 		71850
966		45079200 		71900
967		45151100 		71950
968		45223050 		72000
969		45295050 		72050
970		45367100 		72100
971		45439200 		72150
972		45511350 		72200
973		45583550 		72250
974		45655800 		72300
975		45728100 		72350
976		45800450 		72400
977		45872850 		72450
978		45945300 		72500
979		46017800 		72550
980		46090350 		72600
981		46162950 		72650
982		46235600 		72700
983		46308300 		72750
984		46381050 		72800
985		46453850 		72850
986		46526700 		72900
987		46599600 		72950
988		46672550 		73000
989		46745550 		73050
990		46818600 		73100
991		46891700 		73150
992		46964850 		73200
993		47038050 		73250
994		47111300 		73300
995		47184600 		73350
996		47257950 		73400
997		47331350 		73450
998		47404800 		73500
999		47478300 		0 
